"job_id","job_title","job_location","company_name","job_schedule_type","salary_year_avg","job_posted_date"
226942,"Data Analyst","Anywhere","Mantys","Full-time","650000.0","2023-02-20 15:13:33"
547382,"Director of Analytics","Anywhere","Meta","Full-time","336500.0","2023-08-23 12:04:42"
552322,"Associate Director- Data Insights","Anywhere","AT&T","Full-time","255829.5","2023-06-18 16:03:12"
99305,"Data Analyst, Marketing","Anywhere","Pinterest Job Advertisements","Full-time","232423.0","2023-12-05 20:00:40"
1021647,"Data Analyst (Hybrid/Remote)","Anywhere","Uclahealthcareers","Full-time","217000.0","2023-01-17 00:17:23"
168310,"Principal Data Analyst (Remote)","Anywhere","SmartAsset","Full-time","205000.0","2023-08-09 11:00:01"
731368,"Director, Data Analyst - HYBRID","Anywhere","Inclusively","Full-time","189309.0","2023-12-07 15:00:13"
310660,"Principal Data Analyst, AV Performance Analysis","Anywhere","Motional","Full-time","189000.0","2023-01-05 00:00:25"
1749593,"Principal Data Analyst","Anywhere","SmartAsset","Full-time","186000.0","2023-07-11 16:00:05"
387860,"ERM Data Analyst","Anywhere","Get It Recruit - Information Technology","Full-time","184000.0","2023-06-09 08:01:04"
1352513,"REMOTE Director of Data Analytics","Anywhere","A-Line Staffing Solutions","Full-time","170000.0","2023-08-09 14:02:45"
987523,"Azure Data Python Consultant - contract to HIRE - Citizen or Perm...","Anywhere","Kelly Science, Engineering, Technology & Telecom","Contractor","170000.0","2023-01-23 22:28:01"
1781684,"DTCC Data Analyst","Anywhere","Robert Half","Full-time","170000.0","2023-10-06 00:01:41"
1525451,"Manager, Data Analyst","Anywhere","Uber","Full-time","167000.0","2023-04-18 07:01:17"
712473,"Data Analyst","Anywhere","Get It Recruit - Information Technology","Full-time","165000.0","2023-08-14 16:01:19"
